Domain,Username,Country,Followers,Following,Medias,Likes,Tweets,Listed,IsActive,LastModifiedDate
cnn.com,cnnbrk,US,63801250,117,17306,23,83049,184570,1,2025-03-29 15:08:41
cnn.com,cnn,US,63325560,1047,190577,1339,424092,154574,1,2025-03-29 15:08:41
espn.com,espn,US,57572503,411,58464,4380,150683,60009,1,2025-03-29 15:08:41
nytimes.com,nytimes,US,55246008,853,72419,18499,558275,207992,1,2025-03-29 15:08:41
nationalgeographic.com,natgeo,US,28957597,182,8170,7273,72246,60425,1,2025-03-29 15:08:41
economist.com,theeconomist,GB,27106350,154,85223,153,413733,118577,1,2025-03-29 15:08:41
foxnews.com,foxnews,US,25942798,263,161649,2,654907,77220,1,2025-03-29 15:08:41
reuters.com,reuters,US,25584251,1197,973720,683,1237320,133660,1,2025-03-29 15:08:41
forbes.com,forbes,US,20788672,4669,351541,10118,626575,62548,1,2025-03-29 15:08:41
wsj.com,wsj,US,20740189,1069,51097,1074,466865,125590,1,2025-03-29 15:08:41
bleacherreport.com,bleacherreport,US,20007404,957,130967,895,184328,22387,1,2025-03-29 15:08:41
washingtonpost.com,washingtonpost,US,19867364,1640,21219,3785,511636,104581,1,2025-03-29 15:08:41
time.com,time,US,19211547,471,31342,567,433289,101634,1,2025-03-29 15:08:41
abcnews.go.com,abc,US,17811189,425,198370,60,471535,66375,1,2025-03-29 15:08:41
apnews.com,ap,US,15805774,6285,15371,4335,385942,102662,1,2025-03-29 15:08:41
g1.globo.com,g1,BR,15340073,64,314198,18,798781,18857,1,2025-03-29 15:08:41
vogue.com,voguemagazine,US,15237135,443,13857,4969,196737,21696,1,2025-03-29 15:08:41
cnn.com,cnni,US,15025672,360,113508,121,301248,49963,1,2025-03-29 15:08:41
timesofindia.indiatimes.com?loc=in,timesofindia,IN,14752773,153,457399,18,1008814,13199,1,2025-03-29 15:08:41
eonline.com,enews,US,11610222,101369,113138,28258,355370,31008,1,2025-03-29 15:08:41
theonion.com,theonion,US,11244419,7,60742,5,109794,59095,1,2025-03-29 15:08:41
lemonde.fr,lemondefr,US,11102698,383,34388,1595,484435,36365,1,2025-03-29 15:08:41
theguardian.comuk,guardian,GB,10697561,998,24712,127,861581,68712,1,2025-03-29 15:08:41
huffpost.com,huffpost,US,10635773,5319,89459,1059,672778,74796,1,2025-03-29 15:08:41
techcrunch.com,techcrunch,US,10305741,467,51041,7516,277093,101994,1,2025-03-29 15:08:41
wired.com,wired,US,9811521,444,38380,6960,180152,81168,1,2025-03-29 15:08:41
bloomberg.com,business,US,9664173,94,317906,4357,1151443,70356,1,2025-03-29 15:08:41
aristeguinoticias.com,aristeguionline,MX,9602839,1,170223,204,445810,14956,1,2025-03-29 15:08:41
