,domain,X username,country
1,yahoo.com/news,yahoonews,US
2,yahoo.com/news,yahoopolitics,US
3,finance.yahoo.com,yahoofinance,US
4,twistity.com,TwistityNews,US
5,wisedime.com,TheWiseDime,US
6,dailymail.co.uk,DailyMailUK,US
7,dailydot.com,dailydot,US
8,telemundo.com,telemundonews,US
9,telemundo.com,enfoque,US
10,stupiddope.com,stupidDOPE,US
11,washingtonpost.com,washingtonpost,US
12,washingtonpost.com,thefix,US
13,washingtonpost.com,thelilynews,US
14,washingtonpost.com,powerpost,US
15,washingtonpost.com,posteverything,US
16,washingtonpost.com,morningmix,US
17,washingtonpost.com,wpthewatch,US
18,washingtonpost.com,washpostecon,US
19,washingtonpost.com,democracypost,US
20,washingtonpost.com,wonkblog,US
21,washingtonpost.com,wpmagazine,US
22,washingtonpost.com,monkeycageblog,US
23,washingtonpost.com,postoutlook,US
24,washingtonpost.com,wpinvestigates,US
25,washingtonpost.com,washpostbiz,US
26,washingtonpost.com,postworldnews,US
27,washingtonpost.com,postpolls,US
28,washingtonpost.com,postgreen,US
29,washingtonpost.com,postopinions,US
30,washingtonpost.com,postpolitics,US
31,roughlyexplained.com,roughlyexplain,US
32,cnn.com,cnn,US
33,cnn.com,cnntonight,US
34,cnn.com,newday,US
35,cnn.com,theleadcnn,US
36,cnn.com,reliablesources,US
37,cnn.com,earlystart,US
38,cnn.com,outfrontcnn,US
39,cnn.com,cnnopinion,US
40,cnn.com,ac360,US
41,cnn.com,natseccnn,US
42,cnn.com,cnnsitroom,US
43,cnn.com,cnnsotu,US
44,cnn.com,cnnmoney,US
45,cnn.com,cnnpolitics,US
46,cnn.com,cnnnewsroom,US
47,cnn.com,cnnbrk,US
48,cnn.com,cnni,US
49,cnn.com,cnnspecreport,US
50,cnn.com,hlntv,US
51,cnn.com,weekendexp,US
52,cnn.com,nowinamerica,US
53,cnn.com,eveningexp,US
54,cnn.com,morningexp,US
55,foxnews.com,foxnews,US
56,foxnews.com,foxnewspolitics,US
57,foxnews.com,foxandfriends,US
58,foxnews.com,foxheadlines,US
59,foxnews.com,specialreport,US
60,foxnews.com,livedesk,US
61,foxnews.com,thefive,US
62,foxnews.com,outnumberedfnc,US
63,foxnews.com,hqfox,US
64,foxnews.com,americanewsroom,US
65,foxnews.com,happeningnow,US
66,foxnews.com,ffweekend,US
67,foxnews.com,shepnewsteam,US
68,foxnews.com,foxnewslatino,US
69,foxnews.com,foxnewsopinion,US
70,foxnews.com,foxnation,US
71,foxnews.com,foxnewsalert,US
72,foxnews.com,foxnewssunday,US
73,foxnews.com,foxnewsradio,US
74,foxnews.com,foxnewsinsider,US
75,hollywoodreporter.com,thr,US
76,buzzfeed.com,buzzfeedpol,US
77,buzzfeed.com,buzzfeednews,US
78,drudgereport.com,drudge_report,US
79,nytimes.com,nytimes,US
80,nytimes.com,nytimeses,US
81,nytimes.com,upshotnyt,US
82,nytimes.com,dealbook,US
83,nytimes.com,nytmag,US
84,nytimes.com,nytopinion,US
85,nytimes.com,nytpolitics,US
86,nytimes.com,nytimesworld,US
87,nytimes.com,nytnational,US
88,nytimes.com,nytimesbusiness,US
89,al.com,alcombirmingham,US
90,abcnews.go.com,abc,US
91,abcnews.go.com,abc2020,US
92,abcnews.go.com,gma,US
93,abcnews.go.com,abcnewslive,US
94,abcnews.go.com,abcpolitics,US
95,abcnews.go.com,abcnewsradio,US
96,abcnews.go.com,thisweekabc,US
97,abcnews.go.com,abcworldnews,US
98,abcnews.go.com,abcwnn,US
99,abcnews.go.com,abcinvestigates,US
100,abcnews.go.com,nightline,US
101,forbes.com,forbes,US
102,forbes.com,forbesopinion,US
103,usatoday.com,usatoday,US
104,usatoday.com,usatopinion,US
105,usatoday.com,usatodaydc,US
106,usatoday.com,theoval,US
107,usatoday.com,usatodaymoney,US
108,usatoday.com,ondeadline,US
109,dailykos.com,dailykos,US
110,dailykos.com,dkelections,US
111,variety.com,variety,US
112,businessinsider.com,businessinsider,US
113,businessinsider.com,internationalbi,US
114,businessinsider.com,politicsinsider,US
115,businessinsider.com,clusterstock,US
116,businessinsider.com,mildefinsider,US
117,huffpost.com,HuffPost,US
118,pjmedia.com,pjmedia_com,US
119,vulture.com,vulture,US
120,thedailybeast.com,thedailybeast,US
121,thedailybeast.com,beastbiz,US
122,cbs.com,CBS,US
124,huffingtonpost.com,blackvoices,US
125,huffingtonpost.com,huffpostcontrib,US
126,huffingtonpost.com,huffpostpol,US
127,huffingtonpost.com,huffpostwomen,US
128,huffingtonpost.com,highline,US
129,huffingtonpost.com,huffpostimpact,US
130,huffingtonpost.com,huffpostbiz,US
131,huffingtonpost.com,theworldpost,US
132,huffingtonpost.com,huffpostgreen,US
133,dailygreatest.com,GreatestDaily,US
134,jezebel.com,jezebel,US
135,cbsnews.com,cbsnews,US
136,cbsnews.com,cbseveningnews,US
137,cbsnews.com,cbsthismorning,US
138,cbsnews.com,60minutes,US
139,cbsnews.com,cbssunday,US
140,cbsnews.com,facethenation,US
141,cbsnews.com,cbspolitics,US
142,wired.com,WIRED,US
143,theguardian.com,guardianus,US
144,thehill.com,thehill,US
145,thehill.com,defconhill,US
146,thehill.com,flooraction,US
147,thehill.com,hillsonthemoney,US
148,thehill.com,hillballotbox,US
149,thehill.com,e2wire,US
150,thehill.com,briefingroom,US
151,thehill.com,congressblog,US
152,nbcnews.com,nbcnews,US
153,nbcnews.com,breakingnews,US
154,nbcnews.com,nbcfirstread,US
155,nbcnews.com,nbcnewsthink,US
156,nbcnews.com,megyntoday,US
157,nbcnews.com,nbcout,US
158,nbcnews.com,nbcblk,US
159,nbcnews.com,nbclatino,US
160,nbcnews.com,nbcnewsbusiness,US
161,nbcnews.com,nbcnewsworld,US
162,nbcnews.com,nbcasianamerica,US
163,nbcnews.com,nbcinvestigates,US
164,nbcnews.com,datelinenbc,US
165,nbcnews.com,nbcnewsvideo,US
166,nbcnews.com,nbcpolitics,US
167,nbcnews.com,nbcnightlynews,US
168,nbcnews.com,todayshow,US
169,bbc.com,BBC,US
170,nypost.com,nypost,US
171,nypost.com,nypostbiz,US
172,nypost.com,nypostopinion,US
173,npr.org,npr,US
174,npr.org,npratc,US
175,npr.org,nprweekend,US
176,npr.org,morningedition,US
177,npr.org,waitwait,US
178,npr.org,nprfreshair,US
179,npr.org,nprpolitics,US
180,npr.org,latinousa,US
181,latimes.com,latimes,US
182,latimes.com,latimespolitics,US
183,latimes.com,latimesopinion,US
184,latimes.com,latimesnational,US
185,latimes.com,latimesbiz,US
186,latimes.com,latimesworld,US
187,cnbc.com,cnbc,US
188,cnbc.com,cnbcnow,US
189,cnbc.com,cnbci,US
190,cnbc.com,cnbcpolitics,US
191,cnbc.com,cnbcopinion,US
192,lehighvalleylive.com,lehighvalley,US
193,topix.com,pchdotcom,US
194,mountaineagle.com,dailymtneagle,US
195,theatlantic.com,theatlantic,US
196,theatlantic.com,theatlglobal,US
197,theatlantic.com,theatlpolitics,US
198,theatlantic.com,theatlbusiness,US
199,theatlantic.com,theatlnews,US
200,bloomberg.com,business,US
201,bloomberg.com,bpolitics,US
202,bloomberg.com,bv,US
203,bloomberg.com,bw,US
204,bloomberg.com,markets,US
205,breitbart.com,breitbartnews,US
206,emergencyemail.org,EmergencyEmail,US
207,marketwatch.com,MarketWatch,US
208,reuters.com,reuters,US
209,reuters.com,reuterstv,US
210,reuters.com,reutersopinion,US
211,reuters.com,specialreports,US
212,reuters.com,reutersworld,US
213,reuters.com,reuterspolitics,US
214,reuters.com,reutersbiz,US
215,reuters.com,reutersus,US
216,reuters.com,reuterslive,US
217,usnews.com,usnews,US
218,usnews.com,usnewsinvesting,US
219,usnews.com,usnewsweekly,US
220,mashable.com,socialgood,US
221,twincities.com,pioneerpress,US
222,vice.com,vice,US
223,vice.com,vicenews,US
224,vice.com,viceland,US
225,vice.com,viceimpact,US
226,vice.com,vice_money,US
227,chicagotribune.com,chicagotribune,US
228,chicagotribune.com,chitribbiz,US
229,chicagotribune.com,trib_ed_board,US
230,chicagotribune.com,chicagobreaking,US
232,time.com,time,US
233,time.com,timemaglive,US
234,time.com,timeideas,US
235,time.com,timebusiness,US
236,time.com,timepolitics,US
237,time.com,timeworld,US
238,patch.com,PatchTweet,US
239,rawstory.com,rawstory,US
240,politico.com,politico,US
241,politico.com,politicomag,US
242,politico.com,playbookplus,US
243,politico.com,politicolive,US
244,politico.com,politicopi,US
245,politico.com,politicopro,US
